"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"181"," Liberia","19.0","","19.0","","19.0","","19.0","","22.7","","22.7","","22.7","","22.7"," a,b"
"35"," Lithuania","20.6","","17.5","","20.1","","18.6","","17.5","","19.6","","20.1","","23.9"," a,b"
"21"," Luxembourg","15.7","","13.5","","11.6","","13.1","","13.9","","15.1","","17.7","","17.7"," a,b"
"161"," Madagascar","19.3","","36.1","","36.1","","36.1","","20.4","","20.4","","20.4","","20.4"," a,b"
"171"," Malawi","19.7","","19.7","","23.1","","24.6","","27.7","","32.5","","32.4","","32.4"," a,b"
"57"," Malaysia","28.7","","","","","","","","","","","","","","",""
"101"," Maldives","19.5","","23.2","","23.2","","23.2","","23.2","","23.2","","23.2","","20.5"," a,b"
"182"," Mali","25.4","","","","","","","","16.1","","16.1","","16.1","","15.4"," a,b"
"29"," Malta","","","","","13.6","","14.1","","13.3","","13.6","","13.7","","13.7"," a,b"
"159"," Mauritania","21.5","","21.5","","23.8","","21.2","","21.2","","21.2","","24.6","","24.6"," a,b"
"65"," Mauritius","","","16.6","","16.6","","19.8","","19.8","","19.8","","19.8","","18.2"," a,b"
"74"," Mexico","31.6","","35.6","","35.6","","34.6","","34.6","","34.3","","34.3","","32.8"," a,b"
"131"," Micronesia (Federated States of)","63.1","","63.1","","","","63.1","","","","","","","","26.4"," a,b"
"112"," Moldova (Republic of)","19.4","","18.9","","17.0","","18.9","","14.0","","14.0","","14.0","","14.0"," a,b"
"92"," Mongolia","16.4","","16.4","","19.7","","12.3","","12.3","","12.3","","15.7","","15.7"," a,b"
"50"," Montenegro","12.6","","11.3","","12.6","","11.3","","12.6","","13.6","","13.6","","14.6"," a,b"
"123"," Morocco","20.7","","23.0","","23.0","","23.0","","23.0","","23.0","","","","",""
"180"," Mozambique","58.1","","25.8","","37.0","","28.4","","28.4","","28.4","","28.4","","28.4"," a,b"
"148"," Myanmar","","","","","","","","","","","","","","","5.8"," a,b"
"129"," Namibia","68.3","","68.3","","68.3","","68.3","","68.3","","53.6","","53.6","","53.6"," a,b"
"149"," Nepal","26.4","","37.4","","37.4","","18.3","","15.1","","13.9","","13.9","","16.3"," a,b"
"10"," Netherlands","15.3","","12.5","","12.3","","11.8","","11.6","","12.4","","14.1","","15.0"," a,b"
"16"," New Zealand","","","","","","","","","","","","","","","16.4"," a,b"
