HDI Rank (2017);Country;Alpha_3;2010;2011;2012;2013;2014;2015;2016;2017
41;Portugal;PRT;11,5;9,9;10,4;9,8;10;10,1;13,6;13,2
52;Romania;ROU;12,1;12,3;12,3;10,4;10,2;10,8;11,4;11,4
49;Russian Federation (the);RUS;11,5;11,3;;11,6;10,3;9,6;9,3;9,3
158;Rwanda;RWA;36,5;35,5;33,6;33,1;31,6;31,8;29,8;29,8
90;Saint Lucia;LCA;;;;;15,5;15,6;15,2;16,3
143;Sao Tome and Principe;STP;;30,7;31;30,4;24,7;24,7;19,7;19,7
164;Senegal;SEN;35,3;33,2;32,3;32,3;34;32,5;31,1;31,7
67;Serbia;SRB;10,8;9,5;9,5;10,9;10;11,1;14,4;14,6
184;Sierra Leone;SLE;38,3;41,2;41,2;43,6;40;36,6;35,4;35,4
38;Slovakia;SVK;6,6;5,6;6,2;6,2;6,1;6;6,8;6,7
25;Slovenia;SVN;6,8;5,2;5,8;5,7;5,8;5,8;5,5;5,5
113;South Africa;ZAF;;;;;33;32;30,3;30,3
26;Spain;ESP;9,5;8,8;9,8;10,5;11;10,1;15,2;14,9
76;Sri Lanka;LKA;17;16;14,9;14,2;11,6;11,5;11,2;13,6
100;Suriname;SUR;23,9;23,3;22,6;23,5;23,3;23,3;21,6;21,8
7;Sweden;SWE;6,8;5,8;6,1;6,4;6,6;6,6;6,9;7,2
2;Switzerland;CHE;6,9;6,8;6,8;7,6;7,3;8,4;7,5;7,5
127;Tajikistan;TJK;18,6;17,3;18,1;18,8;16,9;14,9;13,9;13,4
154;Tanzania, United Republic of;TZA;27,9;28,6;27,2;26,9;27,2;25,4;24,9;24,8
83;Thailand;THA;20,5;20,7;20,7;20;20;20,2;16,6;15,5
80;Macedonia (the former Yugoslav Republic of);MKD;16,6;16,2;14,5;13,3;16,1;16,1;15,7;12,4
132;Timor-Leste;TLS;32,6;31,8;31,9;29,4;29,4;30;28,7;26,4
165;Togo;TGO;32,3;32,9;32,9;32,6;33,1;31,6;30,9;31,5
69;Trinidad and Tobago;TTO;15,3;15;15;15;15;15,1;14,7;
95;Tunisia;TUN;24,4;24,4;;;21,4;21,9;21,4;21,4
64;Turkey;TUR;23,5;22,2;22,2;15,6;15,7;15,8;15,2;15,3
162;Uganda;UGA;31,8;33,5;33,5;30,8;30,2;30,8;29,7;28,2
88;Ukraine;UKR;8,1;9,2;9,2;9,1;7,7;7,2;6,7;6,5
14;United Kingdom of Great Britain and Northern Ireland (the);GBR;9,3;8,1;8,1;8,6;8,4;7,8;10,3;9,1
13;United States of America (the);USA;10,9;14,2;12;16,2;15,7;12,9;12,7;13,1
55;Uruguay;URY;15,7;16;16;15,7;14,2;15,4;14,3;13,9
105;Uzbekistan;UZB;15,1;14,5;15,3;15,3;15,3;15,3;12,8;
138;Vanuatu;VUT;;;;;17,1;17,2;16,7;17,1
78;Venezuela (Bolivarian Republic of);VEN;20,8;25,1;25,1;19,4;19,4;19,1;17,8;16,2
116;Viet Nam;VNM;16,4;14;14;14,9;17,4;17,7;17,3;17,3
178;Yemen;YEM;32,9;30,8;30,8;31,7;33;32,7;30,5;30,9
144;Zambia;ZMB;30,5;28,8;36,1;34,5;33,8;34,7;33;33
156;Zimbabwe;ZWE;29,6;28,4;28,1;26,8;26,7;28,1;23,5;23,5
