Country	Country Code	2010	2011	2012	2013	2014	2015	2016	2017
Israel	ISR	5.223903929	4.65783121	1.942507688	4.111155206	3.410136515	3.037943899	4.094335591	3.331562794
Italy	ITA	1.686523403	0.576623022	-2.819013779	-1.728160802	0.113673238	0.951958872	0.85826263	1.502291372
Jamaica	JAM	-1.466295551	1.731465278	-0.623958289	0.498740903	0.682766679	0.892651592	1.373527361	0.481488516
Japan	JPN	4.191739259	-0.11542134	1.495089586	2.000267841	0.374719476	1.353823114	0.938193886	1.712581131
Jordan	JOR	2.311392474	2.586784331	2.651170555	2.828766804	3.096330275	2.39169597	2.003733642	1.970023751
Kazakhstan	KAZ	7.3	7.4	4.8	6	4.2	1.2	1.1	4
Kenya	KEN	8.405699224	6.10826372	4.563209131	5.878689477	5.357116778	5.718507131	5.869192849	4.88544448
Kiribati	KIR	-1.607639217	0.476842245	5.187798487	5.782166321	0.893016655	10.29603364	1.140247258	3.102807007
Korea. Rep.	KOR	6.496793586	3.681688569	2.292397846	2.896204935	3.341447761	2.790236167	2.929304795	3.062768462
Kosovo	XKX	3.309574839	4.812563323	2.89534857	3.431230009	1.198070976	4.094454536	4.068896143	4.466099856
Kuwait	KWT	-2.367061944	9.628436082	6.626388081	1.149038847	0.500876982	0.593019617	3.547005088	-2.866431054
Kyrgyz Republic	KGZ	-0.471566848	5.956274377	-0.088150193	10.91546938	4.024038629	3.875825531	4.335855901	4.583638398
Lao PDR	LAO	8.526905517	8.038652681	8.026098434	8.026300226	7.611963441	7.269591775	7.023091874	6.892747966
Latvia	LVA	-3.940670306	6.381021259	4.034628375	2.429851208	1.858243652	2.971703832	2.208819298	4.549337701
Lebanon	LBN	8.037249555	0.9176978	2.804246836	2.636234039	2.002921346	0.815560066	2	2.020832396
Lesotho	LSO	6.072038616	6.901334072	5.998071843	1.843045061	3.121721844	2.516587746	2.397154488	5.590876671
Liberia	LBR	6.099944692	8.199998146	7.99445127	8.703875016	0.701141636	0	-1.6	2.454596437
Libya	LBY	5.021289739	-62.07591958	123.139555	-13.6	-24	-8.862039401	-2.795468829	26.67587032
Lithuania	LTU	1.639819649	6.043130715	3.82695401	3.49858087	3.537585824	2.034648974	2.344880739	3.828936273
Luxembourg	LUX	4.86496856	2.539234839	-0.35251936	3.654370385	5.771915882	2.861674636	3.082643316	2.297941306
Macao SAR. China	MAC	25.26383542	21.67270836	9.237171168	11.20019047	-1.201113351	-21.59450546	-0.863118776	9.096103681
Macedonia. FYR	MKD	3.358760114	2.339892284	-0.456184412	2.925265321	3.629641308	3.841623807	2.923495718	0.02020369
Madagascar	MDG	0.263110856	1.454392168	3.027508092	2.25520404	3.315854165	3.116614714	4.179990236	4.170794766
Malawi	MWI	6.874065635	4.854055109	1.885799507	5.199999998	5.700000004	2.799999999	2.484040626	4.000030517
Malaysia	MYS	7.424847393	5.29391284	5.473454192	4.69372252	6.00672195	5.028006349	4.21985132	5.901769222
Maldives	MDV	7.265129068	8.566733531	2.517383942	7.281073979	7.329606386	2.245924401	6.163158257	8.828456057
Mali	MLI	5.413452222	3.240252913	-0.836178866	2.303584809	7.043356204	5.962581591	5.799999995	5.3
Malta	MLT	3.542683214	1.322827487	2.712807322	4.611106258	8.114239586	9.621648064	5.230584947	6.422489314
Marshall Islands	MHL	6.453637685	1.206520774	3.457866763	2.860079216	-0.756942819	-0.364546612	1.910494988	2.5
Mauritania	MRT	4.773697175	4.704066531	5.795078172	6.090258732	5.579543856	1.399996443	1.999999062	3.5
Mauritius	MUS	4.377203239	4.077538074	3.496118338	3.360406103	3.744574431	3.468664134	3.79999999	3.8
Mexico	MEX	5.118118143	3.66300793	3.642322679	1.354091962	2.845283745	3.270472129	2.913328277	2.036585834
Micronesia. Fed. Sts.	FSM	2.041890243	3.347067156	-1.989479307	-3.858525094	-2.156058931	4.931500557	-0.063760472	2
Moldova	MDA	7.100000092	6.800000288	-0.700000153	9.400000099	4.799999749	-0.40000013	4.499999966	4.4999999
Mongolia	MNG	6.365161685	17.29077758	12.31981985	11.64891619	7.885225482	2.379835807	1.243202563	5.88462458
Montenegro	MNE	2.73434386	3.228446862	-2.723766679	3.549017057	1.783682741	3.390415207	2.949341515	4.300004056
Morocco	MAR	3.815717917	5.245697297	3.009961262	4.5354242	2.669493927	4.549502042	1.222443647	4.100000007
Mozambique	MOZ	6.687221632	7.117606632	7.198185826	7.1416833	7.444069492	6.593985906	3.762943039	3.710697424
Myanmar	MMR	9.634439452	5.591482378	7.332670447	8.426001025	7.991243344	6.992515574	5.871982226	6.368840526
Namibia	NAM	6.03924941	5.091338198	5.061682013	5.614719701	6.351677961	6.106731719	0.700099218	-0.770335374
Nauru	NRU	13.55082678	11.68452207	10.08655154	34.21498251	36.52409809	2.808191226	10.400004	4.154685104
Nepal	NPL	4.81641465	3.421828241	4.781192258	4.128877676	5.988984661	3.322905439	0.412891877	7.499402289
Netherlands	NLD	1.402662177	1.663626344	-1.057037404	-0.1903392	1.419690296	2.260757029	2.209941516	3.162212293
New Zealand	NZL	0.962157189	2.69579849	2.499416581	2.018009991	3.544991417	4.434294944	3.471456835	3.028657043
Nicaragua	NIC	4.410099117	6.316685535	6.496136543	4.927094063	4.7854602	4.768608794	4.658759192	4.861094976
